street_name,street_class_code,new_area_code,surface_type_code,Subarea,Subarea EA,line_length,route_no,year_built,os_sheets,road_start,road_finish,Irish
CHARLEVILLE ROAD,6,5,3,4,17,0,,,332805,LEINSTER ROAD,RATHGAR ROAD,Bóthar Ráth Luirc
CHARLEVILLE ROAD,6,5,1,4,17,0,,,332805,LEINSTER ROAD,RATHGAR ROAD,Bóthar Ráth Luirc
CHARLOTTE WAY,2,5,1,14,6,120,R114,1992,326320,CAMDEN STREET,HARCOURT STREET,Bealach Charlotte
CHATHAM ROW,4,5,2,13,5,58,,,326315,WILLIAM STREET SOUTH,CLARENDON ROW,Rae Chatham
CHATHAM STREET,4,5,1,13,5,104,,,326315,CHARENDON STREET,GRAFTON STREET,Sráid Chatham
CHELMSFORD AVENUE,6,5,3,10,23,171,,,326421,CHELMSFORD ROAD,,Ascaill Chelmsford
CHELMSFORD CLOSE,6,5,1,,,0,,1990,326421,CHELMSFORD AVENUE,,
CHELMSFORD LANE,7,5,2,10,23,212,,,332901,SALLYMOUNT AVENUE,RANELAGH,Lána Chelmsford
CHELMSFORD ROAD,5,5,1,R12,R23,272,,,332901,LEESON PARK,RANELAGH,Bóthar Chelmsford
CHELSEA GARDENS,5,3,2,16,16,174,,,319911,SEAPARK ROAD,,Gairdíní Shealsaí
CHELTENHAM PLACE,2,5,1,7,20,57,R111,,332805,RATHMINES ROAD LOWER,MOUNTPLEASANT AVENUE LOWER,Plás Seilteanam
CHERRY ORCHARD AVENUE,3,4,3,2,10,1351,,,326216,CLOVERHILL ROAD,CHERRY ORCHARD GREEN,Ascaill Ghort na Silíní
CHERRY ORCHARD CRESCENT,4,4,3,2,10,397,,,326216,CHERRY ORCHARD AVENUE,,
CHERRY ORCHARD DRIVE,3,4,3,2,10,473,,,326212,CHERRY ORCHARD AVENUE,CLIFDEN ROAD,Céide Ghort na Silíní
CHERRY ORCHARD GREEN,5,4,3,2,10,169,,,326211,CHERRY ORCHARD AVENUE,,
CHERRY ORCHARD GROVE,5,4,3,2,10,236,,,326216,CHERRY ORCHARD AVENUE,CHERRY ORCHARD CRESCENT,Garrán Ghort na Silíní
CHERRYFIELD AVENUE LOWER,6,5,3,8,21,192,,,332902,SANDFORD ROAD,,
CHERRYFIELD AVENUE UPPER,6,5,3,8,21,125,,,332907,CHERRFIELD AVENUE LOWER,,
CHERRYMOUNT CRESCENT,6,3,2,13,13,74,,,319808,MALAHIDE ROAD,,Corrán Chnoc na Silíní
CHERRYMOUNT GROVE,6,3,1,13,13,0,,1991,319808,CASINO PARK,,Garrán Chnoc na Silíní
