street_name,street_class_code,new_area_code,surface_type_code,Subarea,Subarea EA,line_length,route_no,year_built,os_sheets,road_start,road_finish,Irish
LEESON LANE,7,5,1,18,10,113,,,326416,QUINNS LANE,LEESON STREET LOWER,Lána Chill Mochargáin
LEESON PARK,5,5,1,10,23,479,,,326421,DARTMOUTH ROAD,APPIAN WAY,Páirc Chill Mochargáin
LEESON PARK AVENUE,6,5,3,11,24,206,,,326421,APPIAN WAY,,Ascaill Pháirc Chill Mochargáin
LEESON PLACE,7,5,2,14,6,122,,,326416,ADELAIDE ROAD,,Plás Chill Mochargáin
LEESON STREET LOWER,1,5,1,R16,R12,547,N011,,326416,WILTON TERRACE,EARLSFORD TERRACE,Sráid Chill Mochargáin íocht
LEESON STREET UPPER,1,5,1,R06,R17,768,N011,,326421,GRAND PARADE,WELLINGTON PLACE,
LEESON VILLAGE,7,5,1,10,23,0,,,326422,LEESON STREET UPPER,,
LEICESTER AVENUE,4,5,3,4,17,316,,,332809,RATHGAR ROAD,KENILWORTH SQUARE EAST,Ascaill Leastar
LEIGHLIN ROAD,6,4,2,10,18,579,,,332802,KILDARE ROAD,CLONMACNOISE ROAD,Bóthar Léithghlinn
LEIN GARDENS,6,3,2,10,10,210,,,313321,HARMONSTOWN ROAD,,Gairdíní Léin
LEIN GARDENS,6,3,3,10,10,240,,,313321,HARMONSTOWN ROAD,,Gairdíní Léin
LEIN PARK,6,3,2,10,10,468,,,313321,LEIN GARDENS,,Páirc Léin
LEIN ROAD,6,3,2,10,10,511,,,313321,HARMONSTOWN ROAD,MCAULEY AVENUE,Bóthar Léin
LEINSTER AVENUE,6,1,2,16,16,266,,,319817,NORTH STRAND ROAD,STONEY AVENUE,Ascaill Laighean
LANSDOWNE HALL,6,5,1,17,30,90,,,,TRITONVILLE,,
LEINSTER LANE,7,5,2,17,9,123,,,326411,LEINSTER STREET,,Lána Laighean
LEINSTER MARKET,7,5,2,16,8,67,,,326406,HAWKIINS STREET,D'OLIER STREET,Margadh Laughean
LEINSTER PLACE,6,5,3,3,16,138,,,332804,PARKVIEW AVENUE,LEINSTER ROAD,Plás Laighean
LEINSTER ROAD,4,5,1,R10,R21,979,,,332804,HAROLD'S CROSS ROAD,RATHMINES ROAD LOWER,Bóthar Laighean
LEINSTER ROAD WEST,6,5,3,4,17,349,,,332809,HAROLD'S CROSS ROAD,LEINSTER ROAD,Bóthar Laighean Thiar
LEINSTER SQUARE,6,5,1,6,19,216,,,332805,RATHMINES ROAD LOWER,PRINCE AUTHER TERRACE,Cearnóg Laighean
LEINSTER STREET EAST,6,1,3,16,16,78,,,319817,SPENCER STREET,STONEY ROAD,Sráid Laighean Thoir
LEINSTER STREET NORTH,5,1,3,12,20,259,,,319714,SHANDON ROAD,PHIBSBOROUGH ROAD,
LEINSTER STREET SOUTH,2,5,1,R13,R09,148,R118,,326406,KILDARE STREET,CLARE STREET,
LEITRIM PLACE,6,5,4,16,29,86,,,326512,GRAND CANAL STREET UPPER,,Plás Liatruim
LEIX ROAD,6,1,2,12,20,478,,,319718,QUARRY ROAD,DOWTH AVENUE,Bóthar Laoise
LEMON STREET,6,5,4,17,9,58,,,326315,DUKE LANE,GRAFTON STREET,Sráid LeimíonLíomóid?
LENNON'S COTTAGES,7,5,2,17,30,37,,,332910,MERRION ROAD,,
LENNOX PLACE,7,5,1,12,4,119,,,326325,PORTOBELLO ROAD,LENNOX STREET,Plás leamhna
LENNOX STREET,4,5,1,12,4,296,,,326320,KINGSLAND PARK AVENUE,RICHMOND STREET SOUTH,Sráid Leamhna
LENNOX TERRACE,7,5,2,12,4,75,,,,LENNOX STREET,PORTOBELLO HARBOUR,Ardán Leamhna
LENTISK LAWN,6,3,2,4,4,106,,,313308,KILFENORA DRIVE,,
LEO AVENUE,6,1,3,5,5,37,,,319720,LEO STREET,,Ascaill Leo
LEO STREET,5,1,3,5,5,171,,,319720,ECCLES PLACE,,Sráid Leo
LESLIE'S BUILDINGS,6,1,1,2,2,56,,,,AVONDALE ROAD,,
LEUKOS ROAD,6,5,1,18,31,75,,,326414,PINE ROAD,,Bóthar Leukos
LIBERTY LANE,7,5,4,11,3,133,,,,KEVIN STREET LOWER,CAMDEN ROW,Lána na Saoirse
LIFFEY STREET LOWER,4,1,1,12,12,138,,,326305,ORMOND QUAY LOWER,MIDDLE ABBEY STREET,
LIFFEY STREET SOUTH,6,4,3,4,12,122,,,,FIRST AVENUE,SAINT MARY'S AVENUE WEST,
LIFFEY STREET WEST,4,1,1,1,1,75,,,,BENBURB STREET,SARSFIELD QUAY,
LIME STREET,4,5,1,19,11,169,,,,SIR JOHN ROGERSONS QUAY,HANOVER STREET,Sráid an Aoil
LIMEKILN LANE,7,4,2,11,19,68,,,,GREENMOUNT AVENUE,,Lána an Teiníolach
LIMEWOOD AVENUE,6,3,2,4,4,223,,,313312,LIMEWOOD PARK,,Ascaill Coill Teile
LIMEWOOD PARK,6,3,2,4,4,240,,,313312,TONLEGEE ROAD,LIMEWOOD AVENUE,Páirc Coill Teile
LIMEWOOD ROAD,6,3,2,4,4,195,,,,,,Bóthar Coill Teile
LINCOLN LANE,6,1,1,3,3,86,,,,ARRAN QUAY,PHOENIX STREET SOUTH,Lána Lincoln
LINCOLN PLACE,2,5,1,R14,R10,137,R118,,,CLARE STREET,WESTLAND ROW,Plás Lincoln
LINDSAY ROAD,5,1,3,13,21,592,,,319714,BOTANIC ROAD,SAINT COLOMBUS ROAD,Bóthar Uí Loingsigh
LINENHALL PARADE,6,1,2,6,6,57,,,326304,LINENHALL TERRACE,LURGAN STREET,Paráid Halla an lín
LINENHALL STREET,6,1,2,6,6,60,,,326304,LINENHALL PARADE,NORTH KING STREET,Sráid Halla an Lín
LINENHALL TERRACE,6,1,2,6,6,122,,,,COLERAINE STREET,LINENHALL PARADE,Ardán Halla an Lín
LISBURN STREET,6,1,2,6,6,75,,,,LURGAN STREET,COLERAINE STREET,Sráid Lios na gCearrbhach
LISCANNOR ROAD,6,1,2,11,19,190,,,319712,KILLALA ROAD,DUNMANUS ROAD,Bóthar Lios Ceannúir
LISLE ROAD,6,4,2,10,18,180,,,332806,SAINT MARY'S ROAD,,Bóthar Lisle
LISMEEN GROVE,7,3,1,9,9,70,,,,BEECH PARK AVENUE,COOLOCK,
LISMORE ROAD,6,4,2,10,18,580,,,332802,FERNS ROAD,CLONMACNOISE ROAD,Bóthar Lios Mór
LISSADEL AVENUE,6,4,2,8,16,401,,,326321,LISSADEL ROAD,LISSADEL DRIVE,Ascaill Leasa an Daill
LISSADEL COURT,6,4,3,8,16,0,,,326321,LISSADEL ROAD CRUMLIN,,Cúirt Leasa an Daill
LISSADEL DRIVE,6,4,2,8,16,352,,,326321,BENBULBIN ROAD,DROMORE ROAD,Céide Leasa an Daill
LISSADEL ROAD,6,4,2,8,16,268,,,326321,KNOCKNAREA AVENUE,RAFTUS LANE,Bóthar Leasa an Daill
LITTON LANE,7,1,4,12,12,63,,,,LOTTS,BACHELORS WALK,Lána Leatán
LOFTUS LANE,7,1,2,11,11,183,,,,CAPEL STREET,KINGS INNS STREET,Lána ó Lachtnáin
LOMBARD COURT,6,5,1,19,11,138,,,,LOMBARD ST. EAST,,
LOMBARD STREET EAST,2,5,1,R15,R11,291,R814,,326406,PEARSE STREET,CITY QUAY,
LOMBARD STREET WEST,6,5,1,R15,R11,344,,,326319,ARNOTT STREET,CLANBRASSIL STREET,
LOMOND AVENUE,6,3,3,15,17,112,,,,INVERNESS ROAD,PHILIPSBURGH AVENUE,Ascaill Lomain
LONDONBRIDGE DRIVE,6,5,1,17,30,106,,,326413,LONDONBRIDGE ROAD,,
LONDONBRIDGE ROAD,2,5,1,17,30,327,R111,,326413,IRISHTOWN ROAD,BATH AVENUE,Bóthar Droichead Londain
LONG LANE,7,1,2,11,11,44,,,319725,MOUNTJOY STREET,SAINT MARY'S TERRACE,An Lána Fada
LONG LANE,4,5,1,11,3,270,,,326320,HEYTESBURY STREET,NEW STREET SOUTH,An Lána Fada
LONG LANE CLOSE,6,5,4,11,3,0,,1995,326320,LONG LANE,,Clós an Lána Fada
LONG MILE ROAD,2,4,1,R04,R13,1268,R110,,,BALFE ROAD,ROBINHOOD ROAD,Bóthar Míle Fada
LONGFORD LANE,7,5,2,10,2,23,,,,LONGFORD STREET GREAT,,Lána Longfort
LONGFORD STREET GREAT,4,5,2,10,2,125,,,326315,AUNGIER STREET,GOLDEN LANE,
LONGFORD STREET LITTLE,6,5,2,13,5,65,,,326315,DIGGES LANE,AUNGIER STREET,
LONG'S PLACE,4,4,2,2,2,260,,,,BOND STREET,OUR LADY'S ROAD,Plás Uí Longáin
LONGWOOD AVENUE,6,5,1,12,4,265,,,326324,WINDSOR TERRACE,SOUTH CIRCULAR ROAD,Ascaill na Feadha Coille
LORCAN AVENUE,6,3,2,6,6,818,,,313212,LORCAN PARK,BALLYSHANNON AVENUE,Ascaill Lorcáin
LORCAN CRESCENT,6,3,2,6,6,610,,,313212,LORCAN PARK,LORCAN AVENUE,
LORCAN DRIVE,6,2,2,6,4,528,,,313212,SHANRATH ROAD,,Céide Lorcáin
LORCAN GREEN,6,3,2,6,6,464,,,313212,LORCAN AVENUE,BALLYSHANNON AVENUE,Plasóg Lorcáin
LORCAN GROVE,6,3,2,6,6,855,,,,LORCAN AVENUE,,Garrán Lorcáin
LORCAN O'TOOLE PARK,4,4,2,10,18,298,,,,KIMMAGE ROAD WEST,CAPTAIN'S ROAD,
LORCAN O'TOOLE PARK,3,4,2,10,18,100,,,,KIMMAGE ROAD WEST,CAPTAIN'S ROAD,
LORCAN PARK,6,3,2,6,6,267,,,313212,SHANTALLA ROAD,LORCAN CRESCENT,Páirc Lorcáin
LORCAN ROAD,6,2,2,6,4,471,,,313212,LORCAN DRIVE,,Bóthar Lorcáin
LORCAN VILLAS,6,3,2,6,6,450,,,313213,LORCAN GREEN,,Bailtíní Lorcáin
LORD EDWARD STREET,1.5,5,1,R08,R04,158,N081,,326310,FISHAMBLE STREET,EXHANGE STREET UPPER,Sráid an Tiarna éadbhard
LORD MAYORS WALK,7,5,4,13,5,0,,,326315,ROYAL HIBERIAN WAY,ANNE STREET SOUTH,
LORETO ROAD,6,4,2,2,2,88,,,,MARROWBONE LANE,OUR LADY'S ROAD,Bóthar Loreto
LOTTS,6,1,4,12,12,224,,,,LIFFEY STREET,WILLIAMS ROW,
LOUGH CONN AVENUE,6,4,2,1,9,151,,,,LOUGH CONN ROAD,,Ascaill Loch Conn
LOUGH CONN DRIVE,6,4,2,1,9,81,,,,ROSSMORE ROAD,LOUGH CONN ROAD,Céide Loch Conn
LOUGH CONN ROAD,6,4,2,1,9,571,,,326207,DRUMFINN ROAD,,Bóthar Loch Conn
LOUGH CONN TERRACE,6,4,2,1,9,80,,,326207,LOUGH CONN ROAD,ROSSMORE ROAD,Ardán Loch Conn
LOUGH DERG ROAD,6,3,2,10,10,328,,,313322,EDENMORE ROAD,,Bóthar Loch Dearg
LOUIS LANE,7,5,1,3,16,112,,,332805,LEINSTER ROAD,,Lána Laoisigh
LOURDES ROAD,6,4,2,2,2,255,,,326313,MORNING STAR ROAD,OUR LADY'S ROAD,Bóthar Lourdes
LOVE LANE EAST,6,5,2,21,13,68,,,,MOUNT STREET LOWER,,
LOVE LANE NORTH,7,1,2,8,8,69,,,,,,
LUBY ROAD,6,4,1,7,15,154,,,,BULFIN ROAD,EMMET ROAD,Bóthar Uí Lúbaigh
LUCAN ROAD,4,4,1,4,12,910,,,,SAINT LAURENCE ROAD,COUNTY BORO BOUNDARY,Bóthar Leamhcáin
LUKE KELLY BRIDGE,2,1,1,15,8,0,R803,,319817,BALLYBOUGH ROAD,,
LUKE STREET,5,5,4,16,8,156,,,,TOWNSEND STREET,GEORGES QUAY,
LULLYMORE TERRACE,6,4,2,8,8,166,,,,SAINT ANNE'S ROAD,DONORE AVENUE,Ardán Líolcach Mór
LURGAN STREET,6,1,1,6,6,53,,,326304,LISBURN STREET,KING STREET,Sráid Na Lorgáin
LYNCH'S PLACE,7,1,2,4,4,55,,,319719,PHIBSBOROUGH ROAD,,Plás Uí Loinsigh
"LYNCH'S LANE
LYNCH'S LANE, 
LYNCH'S LANE, 
LYNCH'S LANE, 
Lynchs Lane",7,4,3,4,12,218,,,,SAINT LAURENCE ROAD,BALLYFERMOT ROAD,
"LYNCH'S LANE
LYNCH'S LANE, 
LYNCH'S LANE, 
LYNCH'S LANE, 
Lynchs Lane",6,4,2,4,12,98,,,,SAINT LAURENCE ROAD,BALLYFERMOT ROAD,
LYNDON GATE,6,1,1,10,18,92,,,319716,BLACKHORSE AVENUE,,
MABBOT LANE,6,1,4,14,14,104,,,326401,TALBOT STREET,RAILWAY PLACE,Lána Mabóid
MABEL STREET,6,1,3,15,8,111,,,,CLONCLIFFE ROAD,FITZROY AVENUE,Sráid Máible
MC MORROUGH ROAD,6,5,2,4,17,44,,,,,,
MACKEN STREET,4,5,1,R10,R06,323,,,,GRAND CANAL STREET LOWER,HANOVER STREET EAST,Sráid ó Maicín
MACKEN STREET,2,5,1,R10,R06,182,R813,,,GRAND CANAL STREET LOWER,HANOVER STREET EAST,Sráid ó Maicín
MACKIES PLACE,7,5,2,18,10,17,,,313210,WINDSOR PLACE,,
MACROOM AVENUE,3,3,2,3,3,202,,,313210,GLIN ROAD,GREENCASTLE AVENUE,Ascaill Mhaigh Chromtha
MACROOM ROAD,6,3,2,3,3,43,,,326319,MADDEN ROAD,,Bóthar Mhaigh Chromtha
MACROOM ROAD,3,3,2,3,3,720,,,326319,MADDEN ROAD,,Bóthar Mhaigh Chromtha
MADISON ROAD,6,4,3,3,3,87,,,326312,SOUTH CIRCULAR ROAD,,Bóthar Mac Mhidín
MAGENNIS PLACE,6,5,4,16,8,88,,,,TOWNSEND STREET,PEARSE STREET,Plás Mhic Aonghusa
MAGENNIS PLACE,6,5,2,16,8,71,,,,TOWNSEND STREET,PEARSE STREET,Plás Mhic Aonghusa
MAGENNIS SQUARE,6,5,2,16,8,70,,,326406,PEARSE STREET,MAGENNIS PLACE,Cearnóg Mhic Aonghusa
MAGENTA CRESCENT,6,2,2,6,4,130,,,313211,SWORDS ROAD,MAGENTA HALL,
MAGENTA HALL,6,2,2,6,4,512,,,313212,,,
MAIDEN ROW,6,4,3,3,11,138,,,326203,MAIN STREET,CHAPELIZOD ROAD,
MAIN STREET,4,2,1,6,6,362,,,313117,MELLOWS ROAD,WELLMOUNT ROAD,
MAIN STREET,2,3,1,16,16,168,R809,,313322,WATERMILL ROAD,HOWTH ROAD,
MALACHI PLACE,6,1,3,16,16,23,,,,CHURCH ROAD,EAST WALL,Plás Maelsheachlain
MALACHI ROAD,6,1,3,1,1,126,,,326303,HALLADAY ROAD,JUAN STREET,Bóthar Maelsheachlain
MALAHIDE ROAD,2,3,1,R01,R01,6422,R107,,313302,FAIRVIEW,COUNTY BORO BOUNDARY,Bóthar Mulach íde
OLD MALAHIDE ROAD,5,3,2,9,9,565,,,313215,BROOKVILLE PARK,MALAHIDE ROAD GREENCASTLE ROAD,
OLD MALAHIDE ROAD,5,3,1,9,9,630,,,313311,MALAHIDE ROAD,,
MALLIN AVENUE,6,4,3,2,2,103,,,326313,CLAKE'S TERRACE,JAMES WALK,Ascaill Uí Mhealláin
GROVE AVENUE,7,5,2,3,16,36,,,326324,GROVE ROAD,,
MALONE GARDENS,6,5,2,16,29,118,,,,BATH AVENUE,,Gairdíní Uí Mhaoileóin
MALPAS PLACE,6,4,2,7,7,29,,,,MALPAS TERRACE,,Plás Mhalpais
MALPAS STREET,6,4,1,7,7,129,,,,CLANBRASSIL STREET,BLACKPITTS,Sráid Mhalpais
MALPAS TERRACE,6,4,2,7,7,64,,,326314,MALPAS STREET,FUMBALLY LANE,Ardán Mhalpais
MANDERS TERRACE,6,5,3,7,20,107,,,326421,RANELAGH,,
MANGERTON ROAD,6,4,2,8,16,679,,,326225,BRANDON ROAD,MOURNE ROAD,Bóthar Mangartha
MANNIX ROAD,5,1,3,13,21,231,,,319715,BOTANIC AVENUE,,Bóthar ó Mainchín
MANOR DRIVE,6,3,2,4,4,95,,,313308,ARDARA AVENUE,,
MANOR PLACE,3,1,1,1,1,250,,,319723,OXMANTOWN ROAD,MANOR STREET,Plás an Mhanéir
MANOR STREET,2,1,1,R06,R06,397,R805,,319723,AUGHRIM STREET,STONYBATTER,Sráid an Mhanéir
MAOLBUILLE ROAD,6,2,2,7,7,220,,,313120,SAINT PAPPINS ROAD,CLONMEL ROAD,
MAPLE DRIVE,6,4,2,12,25,88,,,332808,THE CLOISTERS,,
MAQUAY BRIDGE,2,5,1,R13,R24,38,R815,,,GRAND CANAL STREET UPPER,GLANWILLIAM PLACE,
MARGARET PLACE,6,5,2,16,29,143,,,,BATH AVENUE,,Plás Maighréad
MARGUERITE ROAD,6,1,3,13,21,215,,,319715,BOTANIC ROAD,,Bóthar Mairgréide
MARIGOLD AVENUE,6,3,1,2,2,0,,,313306,MARIGOLD ROAD,,Ascaill an Bhuíáin
MARIGOLD COURT,6,3,1,,,0,,,313306,MARIGOLD AVENUE,,Cúirt an Bhuíáin
MARIGOLD CRESCENT,6,3,1,2,2,0,,,313306,MARIGOLD ROAD,,Corrán an Bhuíáin
MARIGOLD GROVE,6,3,1,2,2,0,,,,MARIGOLD ROAD,,Garrán an Bhuíáin
MARIGOLD PARK,6,3,1,2,2,0,,,313301,MARIGOLD AVENUE,,Páirc an Bhuíáin
MARIGOLD ROAD,6,3,1,2,2,0,,,313306,MARIGOLD CRESCENT,PRIORSWOOD ROAD,Bóthar an Bhuíáin
MARINE DRIVE,5,5,1,17,30,240,,,326419,BEACH ROAD,SANDYMOUNT ROAD,Céide na Mara
MARINO AVENUE,6,3,2,15,17,116,,,319813,MALAHIDE ROAD,CECIL AVENUE,Ascaill Mhuiríne
MARINO COURT,6,3,1,15,17,0,,,319812,FAIRVIEW AVENUE LOWER,,Cúirt Mhuiríne
MARINO CRESCENT,6,3,3,14,14,248,,,,FAIRVIEW,HOWTH ROAD,Céide Mhuiríne
MARINO GREEN,6,3,1,15,17,338,,,,MARINO PARK,,Plasóg Mhuiríne
MARINO MART,3,3,1,15,17,64,,,319813,HAVERTY ROAD,FAIRVIEW,Marglann Mhuiríne
MARINO PARK,6,3,1,15,17,322,,,,CROYDON PARK AVENUE,,Páirc Mhuiríne
MARINO PARK,3,3,1,15,17,108,,,,CROYDON PARK AVENUE,,Páirc Mhuiríne
MARINO PARK AVENUE,3,3,1,15,17,140,,,319813,HAVERTY ROAD,MARINO PARK,Ascaill Páirc Mhuiríne
MARION VILLAS,6,4,2,6,6,59,,,,CORK STREET,,Bailtíní Mhuire
MARK STREET,5,5,3,16,8,36,,,,TOWNSEND STREET,PEARSE STREET,Sráid Marcuis
MARK STREET,5,5,2,16,8,85,,,,TOWNSEND STREET,PEARSE STREET,Sráid Marcuis
MARKET STREET SOUTH,4,4,4,2,2,77,,,,ROBERT STREET,GRAND CANAL PLACE,Sráid an Mhargaidh Theas
MARK'S ALLEY WEST,6,4,2,6,6,114,,,,FRANCIS STREET,HANOVER STREET WEST,
MARK'S LANE,7,5,3,16,8,164,,,,MARK STREET,TOWNLAND STREET EAST,
MARLBOROUGH CLOSE,7,5,2,11,24,224,,,,MARLBOROUGH ROAD,MOREHAMPTON TERRACE,
MARLBOROUGH LANE,7,5,2,11,24,68,,,,MARLBOROUGH ROAD,,Lána Marlborough
MARLBOROUGH MEWS,7,1,2,10,18,0,,,319720,NORTH CIRCULAR ROAD,MARLBOROUGH ROAD,Eachlann Marlborough
MARLBOROUGH PLACE,6,1,2,15,15,135,,,326401,MARLBOROUGH STREET,,Plás Marlborough
MARLBOROUGH ROAD,5,5,1,11,24,547,,,319722,NORTH CIRCULAR ROAD,,Bóthar Marlborough
MARLBOROUGH ROAD,6,1,3,11,19,152,,,332902,MOREHAMPTON ROAD,SANDFORD ROAD,Bóthar Marlborough
MARLBOROUGH STREET,4,1,1,15,15,231,,,,EDEN QUAY,PARNELL STREET,Sráid MarlboroughMaoilbhríde
MARLBOROUGH STREET,4,1,1,15,15,370,,,,EDEN QUAY,PARNELL STREET,Sráid MarlboroughMaoilbhríde
MARMION COURT,6,1,1,3,3,107,,,,BLACKHALL STREET,,
MARNE VILLAS,6,1,1,2,2,60,,,,GRANGEGORMAN UPPER,,
MARROWBONE LANE,2,4,1,R05,R05,609,R804,,326313,SCHOOL LANE,CORK STREET,Lána Mhuire Mhaith
MARROWBONE LANE CLOSE,6,4,1,,,0,,1995,326313,MARROWBONE LANE,,Clós Lána Mhuire Mhaith
MARSHAL LANE,6,4,2,4,4,90,,,,BRIDGEFOOT STREET,,Lána Marascail
MARSHALSEA LANE,6,4,2,4,4,185,,,,THOMAS STREET,MARSHALL LANE,Lána an Mhairsealsaí
MARTELLO WOOD,6,5,1,17,30,0,,,336405,STRAND ROAD,,
MARTIN SAVAGE PARK,6,1,2,9,17,408,,,319609,ASHTOWN ROAD,,Páirc Martan Sabhaois
MARTIN STREET,6,5,1,12,4,121,,,326325,LENNOX STREET,PORTOBELLO ROAD,Sráid Mhairtín
MARTIN'S ROW,2,4,3,3,11,925,R109,,326203,CHAPELIZOD ROAD,COUNTY BOUNDARY,
MARY STREET,6,1,1,12,12,134,,,326305,DENMARK STREET,CAPEL STREET,Sráid Muire
MARY STREET LITTLE,4,1,1,7,7,103,,,326305,ASSAN STREET EAST,CHAPEL STREET,
MARYFIELD AVENUE,6,3,2,9,9,74,,,313219,ARDLEA ROAD,MARYFIELD CRESCENT,Ascaille Ghort Mhuire
MARYFIELD CRESCENT,6,3,2,9,9,614,,,313219,KILMORE ROAD,MARYFIELD DRIVE,Corrán Ghort Mhuire
MARYFIELD DRIVE,3,3,2,9,9,277,,,313219,ARDLEA ROAD,KILMORE ROAD,Céide Ghort Mhuire
MARYFIELD WOODS,6,3,1,9,9,37,,1991,313224,KILMORE ROAD,,
MARY'S ABBEY,4,1,1,7,7,124,,,,ASSAN STREET EAST,CHAPEL STREET,
MARY'S LANE,4,1,1,7,7,286,,,,CHURCH STREET,LITTLE GREEN STREET,
MARYVILLE ROAD,6,3,2,16,16,578,,,319901,ALL SAINTS ROAD,WADES AVENUE,Bóthar Bhaile Muire
MASK AVENUE,6,3,2,10,10,393,,,313220,MASK CRESCENT,SAINT BRENDANS AVENUE,
MASK CRESCENT,6,3,2,10,10,234,,,313220,GRACEFIELD ROAD,MC AULEY ROAD,Corrán Measc
MASK DRIVE,6,3,2,10,10,186,,,313225,MASK AVENUE,,Céide Measc
MASK GREEN,6,3,2,10,10,338,,,313225,MASK AVENUE,,Faiche Measc
MASK ROAD,6,3,2,10,10,426,,,313225,SAINT BRENDANS AVENUE,MASK CRESCENT,Bóthar Measc
MATT TALBOT MEMORIAL BRIDGE,2,1,1,R01,R01,80,R105,,326401,CUSTOM HOUSE QUAY,CITY QUAY,
MAUNSELL PLACE,6,1,2,14,14,36,,,319725,SAINT MARYS AVENUE NORTH,,
MAXWELL COURT,7,5,1,5,18,0,,,332810,RATHMINES ROAD UPPER,MAXWELL ROAD,
MAXWELL LANE,7,5,1,5,18,83,,,,MAXWELL ROAD,,Lána Maxwell
MAXWELL ROAD,5,5,3,5,18,326,,,332810,RATHMINES ROAD UPPER,FRANKFORD ROAD,Bóthar Maxwell
MAXWELL STREET,6,4,2,7,7,91,,,326318,DARLEY TERRACE,CAMERON STREET,Sráid Maxwell
MAY LANE,4,1,2,3,3,73,,,,BOW STREET,CHURCH STREET,Lána Mhic Maighe
MAY LANE,4,1,4,3,3,32,,,319816,DRUMCONDRA PARK,FITZROY AVENUE,Lána Mhic Maighe
MAY STREET,6,1,3,15,8,79,,,,DRUMCONDRA PARK,FITZROY AVENUE,Sráid Mhic Maighe
MAYFIELD ROAD,6,4,3,3,3,101,,,332813,TERENURE PARK,,Bóthar Gort na Bealtaine
MAYFIELD ROAD,6,4,3,3,11,119,,,326312,SOUTH CIRCULAR ROAD,MOUNTSHANNON ROAD,Bóthar Gort na Bealtaine
MAYFIELD ROAD EAST,6,4,3,12,20,83,,,332813,TERENURE PARK,,
MAYOR STREET LOWER,5,1,4,16,16,320,,,,GUILDS STREET,COMMONS STREET,
MAYOR STREET UPPER,4,1,2,16,16,165,,,326402,CASTLEFORBES ROAD,,
MAYOR STREET UPPER,4,1,2,16,16,209,,,326402,CASTLEFORBES ROAD,,
MAYWOOD AVENUE,6,3,2,12,12,341,,,313323,AVONDALE PARK,MAYWOOD ROAD,Ascaill Choill Mhuire
MAYWOOD CLOSE,6,3,2,12,12,63,,,,MAYWOOD ROAD,,Ascaill Coill Mhuire
MAYWOOD CRESCENT,6,3,2,12,12,278,,,,MAYWOOD ROAD,RAHENY PARK,Corrán Choill Mhuire
MAYWOOD DRIVE,6,3,2,12,12,141,,,,MAYWOOD AVENUE,MAYWOOD CRESCENT,Céide Coill Mhuire
MAYWOOD GROVE,6,3,2,12,12,97,,,313323,MAYWOOD ROAD,,Garrán Coill Mhuire
MAYWOOD LAWN,6,3,2,12,12,281,,,313323,MAYWOOD CRESCENT,,Plasóg Choill Mhuire
MAYWOOD PARK,6,3,2,12,12,231,,,313323,MAYWOOD ROAD,MAYWOOD DRIVE,Páirc Choill Mhuire
MAYWOOD ROAD,6,3,2,12,12,246,,,,HOWTH ROAD,MAYWOOD CRESCENT,Bóthar Choill Mhuire
MC AULEY AVENUE,6,3,2,10,10,641,,,313316,MC AULEY ROAD,,
MC AULEY DRIVE,3,3,2,10,10,369,,,,MC AULEY AVENUE,,
MC AULEY PARK,6,3,1,10,10,164,,,313316,GRACEFIELD AVENUE,RIB ROAD,
MC AULEY PARK,3,3,1,10,10,150,,,313316,GRACEFIELD AVENUE,RIB ROAD,
MC AULEY ROAD,3,3,1,10,10,541,,,313316,GRACEFIELD AVENUE,GRACEFIELD ROAD,
MC AULEY ROAD,3,3,2,10,10,541,,,313316,GRACEFIELD AVENUE,GRACEFIELD ROAD,
SAINT PETER'S AVENUE,7,1,2,12,20,35,,,319719,NEW CADRA ROAD,,
MC DOWELL AVENUE,6,4,2,2,2,95,,,,BURKE PLACE,,
MC DOWELL AVENUE,6,4,1,2,2,26,,,,BURKE PLACE,,
MCGUINNESS COTTAGES,7,1,2,5,5,22,,,,CROSSGUNS BRIDGE,,
MCKEE AVENUE,6,2,1,1,1,238,,,313112,SAINT MARGARETS ROAD,BALLYGALL ROAD WEST,
MCKEE AVENUE,4,2,1,1,1,906,,,313112,SAINT MARGARETS ROAD,BALLYGALL ROAD WEST,
MCKEE PARK,6,1,2,10,18,454,,,319722,BLACKHORSE AVENUE,,
MC KEE ROAD,3,2,2,3,3,521,,,313113,CLUNE ROAD,SYCAMORE ROAD,
MC KEE ROAD,6,2,2,3,3,172,,,313113,CLUNE ROAD,SYCAMORE ROAD,
MC KELVEY AVENUE,6,2,2,1,1,294,,,,SAINT MARGARETS ROAD,,
MC KELVEY AVENUE,3,2,2,1,1,77,,,,SAINT MARGARETS ROAD,,
MC KELVEY ROAD,3,2,2,1,1,195,,,,MC KELVEY AVENUE,SAINT MARGARETS ROAD,
MC KENNY BRIDGE,2,5,1,R13,R24,25,R118,,,PERCY PLACE,WARRNGTON PLACE,
MC MAHON STREET,6,5,1,11,3,85,,,,DESMOND STREET,ARNOTT STREET,
MEADE'S TERRACE,6,5,2,21,13,69,,,,HOGAN TERRACE,HOLLES ROW,
MEADOWBANK,6,5,1,6,19,185,,,,BUSHY PARK ROAD,,
MEADOWBANK,6,5,1,,,0,,1988,,BUSHY PARK ROAD,,
MEATH MARKET,6,4,2,6,6,26,,,,EARL STREET SOUTH,,Margadh na Mí
MEATH PLACE,6,4,2,6,6,167,,,326314,MEATH STREET,PIMLICO,Plás na Mí
